Datas,Papel,Abertura,Alta,Baixa,Fechamento,Volume,MMS9,MME50,DesvioPadrao,BandaSuperior,BandaInferior,IFR,Max20,Min20,FechamentoSeguinte
2019-11-14,BBAS3,38.58172186811344,39.10027001020397,38.27226288852254,38.899539947509766,12033500,39.44318093193902,39.198473274143225,0.7522149025487577,41.08370996478768,38.07485035459265,47.1467685153492,41.333377838134766,38.43117904663086,38.91626739501953
2019-11-18,BBAS3,39.309362036341696,39.43481872329441,38.47299263131315,38.91626739501953,15585600,39.33538309733073,39.18740637692269,0.7237919540849804,40.90368992068772,38.0085221043478,47.323634289742024,41.333377838134766,38.43117904663086,38.297359466552734
2019-11-19,BBAS3,38.76572433602327,38.86609097133529,38.23044837634472,38.297359466552734,8118000,39.13093778822157,39.152502576516014,0.7662570099987117,40.82362813354501,37.758600093550164,42.56806473537185,41.333377838134766,38.297359466552734,38.79081726074219
2019-11-21,BBAS3,38.26390359656526,38.882818413748865,38.18026792501175,38.79081726074219,11252800,39.0110592312283,39.138318838642526,0.7938419235296603,40.77919517462945,37.603827480510816,47.0931371428511,41.333377838134766,38.297359466552734,39.41045379638672
2019-11-22,BBAS3,38.85407104789351,39.53690573660144,38.7107586345964,39.41045379638672,7639800,38.960029178195526,39.14899079776975,0.7952868637403296,40.716002013946394,37.534854558985074,52.22263197352727,41.333377838134766,38.297359466552734,39.28400421142578
2019-11-25,BBAS3,39.41888478836518,39.57062583939784,39.00581442840365,39.28400421142578,7430100,38.957210540771484,39.15428544144253,0.7994116948428367,40.671004397764506,37.473357618393166,51.1038321224219,41.333377838134766,38.297359466552734,38.7782096862793
2019-11-26,BBAS3,39.0732599953955,39.09855231889631,38.407288838275036,38.7782096862793,15330000,38.87589094373915,39.139537372612594,0.8190023413221745,40.61095709186843,37.33494772657973,46.86224634925566,41.333377838134766,38.297359466552734,39.90782165527344
2019-11-27,BBAS3,38.94679731681611,39.9415425973471,38.348265066135646,39.90782165527344,11237900,38.96840582953559,39.16966616801106,0.771710078744982,40.57077708553506,37.48393677055514,55.64634409164734,41.333377838134766,38.297359466552734,40.12701416015625
2019-11-28,BBAS3,39.570631301505415,40.18602421972474,39.250291896935614,40.12701416015625,6909900,39.156831953260635,39.207209226526565,0.7363660588064433,40.556173418438526,37.610709183212755,57.13212523600142,41.333377838134766,38.297359466552734,40.30404281616211
2019-11-29,BBAS3,40.160730391339825,40.4557838703002,39.966839759009304,40.30404281616211,7285500,39.312887827555336,39.25022230847306,0.6306670232213536,40.456489450273494,37.933821357388084,58.36114455741905,40.30404281616211,38.297359466552734,39.98370361328125
2019-12-02,BBAS3,40.304046223074394,40.74240894810529,39.98370361328125,39.98370361328125,9727400,39.43149185180664,39.27898628121065,0.6142539103857589,40.564801821570526,38.10778618002749,55.324417468472575,40.30404281616211,38.297359466552734,40.79298782348633
2019-12-03,BBAS3,40.582236695474265,41.045888533939404,40.42206699587562,40.79298782348633,17536700,39.70878389146593,39.33835889071167,0.669542724574609,40.847511075037,38.169340176738565,60.874076358196334,40.79298782348633,38.297359466552734,41.38309097290039
2019-12-04,BBAS3,40.792987180605,41.41681192464457,40.71711664708407,41.38309097290039,15029100,39.99681430392795,39.418544462562224,0.7902303878838282,41.3131430905537,38.15222153901839,64.34808288665772,41.38309097290039,38.297359466552734,41.02903366088867
2019-12-05,BBAS3,41.442107343158376,41.534838366676524,40.7255546963849,41.02903366088867,9473100,40.17665651109483,39.481700901712294,0.8479279156065176,41.67687216366598,38.28516050123991,60.893936091263186,41.38309097290039,38.297359466552734,40.86042404174805
2019-12-06,BBAS3,40.953155039697684,41.298786712905795,40.69182251964021,40.86042404174805,9635700,40.35181427001953,39.535768475831354,0.8923802087226786,41.95392282089883,38.38440198600812,59.23083520552896,41.38309097290039,38.297359466552734,40.986881256103516
2019-12-09,BBAS3,40.7592696365114,41.26507430754073,40.725551897755224,40.986881256103516,8429900,40.59722222222222,39.59267485937145,0.9406467535529048,42.19376749780627,38.43118048359465,60.1276353196653,41.38309097290039,38.297359466552734,40.39677810668945
2019-12-10,BBAS3,40.92787189483825,41.08804482385542,40.17759832988606,40.39677810668945,6527300,40.651550716824005,39.62420832005059,0.9480415266668172,42.30971830723988,38.51755220057262,54.29072738292148,41.38309097290039,38.297359466552734,40.3377685546875
2019-12-11,BBAS3,40.50637011672466,40.77613132966119,40.093299666331305,40.3377685546875,9979700,40.67496787177192,39.65219107435008,0.954680580357014,42.46477449356648,38.646052172138425,53.71960985251092,41.38309097290039,38.297359466552734,41.38371658325195
2019-12-12,BBAS3,40.61374774469965,41.38371658325195,40.495291496874785,41.38371658325195,8498200,40.79493162367079,39.7200940354835,1.0009190932222036,42.69142378547672,38.6877474125879,61.376820362367916,41.38371658325195,38.297359466552734,41.06217956542969
2019-12-13,BBAS3,41.34140055831108,41.88291653854063,40.91834079529552,41.06217956542969,18029900,40.914762285020615,39.772724840579436,0.967983304922669,42.71056724572069,38.838634026030014,58.215575524060945,41.38371658325195,38.297359466552734,40.503753662109375
